year,category,numberWorkers,meanWage,meanWage_wgtSkl,QShrYr,m2f_diff_occ,m2f_diff_occ_chg_1yr,lnm2f_qt_byskl,lnm2f_qt_wgt,QShrYrD13,GenderParticipateShare,lnm2f_wg_byskl,lnm2f_wg_byskl_chg_1yr,lnm2f_wg_wgtskl,lnm2f_wg_wgtskl_chg_1yr,lnm2f_wg_wgt,GenderNumberWorkers,
1989,C001,1448592,1.941977,,0.108341464,,,,,0.006993104,0.108341464,,,,,,13370615,
1989,C002,1125589,3.224658,,0.084183787,,,,,0.005433801,0.084183787,,,,,,13370615,
1989,C003,1515604,3.373755,,0.11335335,,,,,0.007316606,0.11335335,,,,,,13370615,
1989,C004,8426623,,,0.630234511,,,,,,0.630234511,,,,,,13370615,
1989,C011,9199,2.160365,1.943355079,0.000688001,,,,,4.44E-05,0.000688001,,,,,,13370615,
1989,C012,110106,5.658936,3.441563153,0.008234924,,,,,0.000531539,0.008234924,,,,,,13370615,
1989,C013,481601,5.802278,3.95936294,0.03601936,,,,,0.002324938,0.03601936,,,,,,13370615,
1989,C014,253301,,,0.018944604,,,,,,0.018944604,,,,,,13370615,
1989,C101,4427525,2.315707,,0.373696648,0.265355184,0,1.117248687,,0.021373957,0.373696648,0.176008514,0,,,,11847912,
1989,C102,3127662,3.217799,,0.263984236,0.17980045,0,1.021979306,,0.015098845,0.263984236,-0.002129313,0,,,,11847912,
1989,C103,1927893,4.329016,,0.162720064,0.049366714,0,0.240613657,,0.009306938,0.162720064,0.249313897,0,,,,11847912,
1989,C104,485616,,,0.040987475,-0.589247035,0,,,,0.040987475,,,,,,11847912,
1989,C111,96487,4.524457,2.362814669,0.008143798,0.007455797,0,2.350313502,1.132476935,0.000465793,0.008143798,0.739220381,0,0.195437663,0,0.195437663,11847912,
1989,C112,277183,5.41463,3.396639507,0.023395093,0.015160169,0,0.9232344,1.013565852,0.001338106,0.023395093,-0.044131339,0,-0.013139211,0,-0.013139211,11847912,
1989,C113,1386850,8.043691,5.883192907,0.117054381,0.08103502,0,1.057674297,0.506631391,0.006695043,0.117054381,0.326637458,0,0.396016487,0,0.396016487,11847912,
1989,C114,118696,,,0.010018305,-0.008926298,0,,,,0.010018305,,,,,,11847912,
1992,C001,1743143,1.843068,,0.120179122,,,,,0.007560803,0.120179122,,,,,,14504541,
1992,C002,1377336,3.476389,,0.094958951,,,,,0.005974132,0.094958951,,,,,,14504541,
1992,C003,1428034,4.07903,,0.09845427,,,,,0.006194032,0.09845427,,,,,,14504541,
1992,C004,8775788,,,0.605037278,,,,,,0.605037278,,,,,,14504541,
1992,C011,18205,4.549547,1.871041717,0.001255124,,,,,7.90E-05,0.001255124,,,,,,14504541,
1992,C012,167027,5.751972,3.722499404,0.011515497,,,,,0.000724472,0.011515497,,,,,,14504541,
1992,C013,629306,7.025672,4.980358653,0.043386826,,,,,0.002729586,0.043386826,,,,,,14504541,
1992,C014,365702,,,0.025212932,,,,,,0.025212932,,,,,,14504541,
1992,C101,4792709,2.05199,,0.367195492,0.24701637,-0.018338814,1.011405999,,0.020788157,0.367195492,0.10737848,-0.068630035,,,,13052200,
1992,C102,4064209,2.997614,,0.311381146,0.216422195,0.036621746,1.082067937,,0.017628322,0.311381146,-0.148177472,-0.14604816,,,,13052200,
1992,C103,1670893,4.797142,,0.128016197,0.029561926,-0.019804788,0.157059541,,0.007247422,0.128016197,0.162161109,-0.087152788,,,,13052200,
1992,C104,550003,,,0.04213872,-0.562898558,0.026348478,,,,0.04213872,,,,,,13052200,
1992,C111,74782,4.085664,2.083234477,0.005729456,0.004474331,-0.002981465,1.412880933,1.016499184,0.000324364,0.005729456,-0.107543407,-0.846763788,0.107426379,-0.088011284,0.107426379,13052200,
1992,C112,331891,7.940413,3.370778965,0.025427974,0.013912477,-0.001247692,0.686651126,1.046106257,0.001439562,0.025427974,0.322422536,0.366553876,-0.099251461,-0.08611225,-0.099251461,13052200,
1992,C113,1437078,10.00055,7.203117848,0.110102358,0.066715532,-0.014319488,0.825749539,0.412556215,0.00623326,0.110102358,0.353069222,0.026431764,0.36901206,-0.027004428,0.36901206,13052200,
1992,C114,130635,,,0.010008658,-0.015204274,-0.006277976,,,,0.010008658,,,,,,13052200,
1994,C001,2509110,1.967753,,0.15826353,,,,,0.009755435,0.15826353,,,,,,15854000,
1994,C002,1540383,3.509873,,0.097160527,,,,,0.005989018,0.097160527,,,,,,15854000,
1994,C003,1556944,4.375757,,0.098205122,,,,,0.006053408,0.098205122,,,,,,15854000,
1994,C004,8823730,,,0.556561751,,,,,,0.556561751,,,,,,15854000,
1994,C011,10653,2.811216,1.971318975,0.000671944,,,,,4.14E-05,0.000671944,,,,,,15854000,
1994,C012,241285,6.913596,3.970827176,0.015219188,,,,,0.000938118,0.015219188,,,,,,15854000,
1994,C013,753017,8.694312,5.783549309,0.047496972,,,,,0.002927735,0.047496972,,,,,,15854000,
1994,C014,418878,,,0.026420966,,,,,,0.026420966,,,,,,15854000,
1994,C101,5313381,2.110739,,0.37923025,0.22096672,-0.044388464,0.750300247,,0.020658458,0.37923025,0.070145841,-0.105862674,,,,14010963,
1994,C102,4030776,3.117752,,0.287687292,0.190526764,0.010726315,0.961927826,,0.015671682,0.287687292,-0.118467625,-0.116338313,,,,14010963,
1994,C103,1682930,4.859095,,0.120115227,0.021910105,-0.027456609,0.077811396,,0.006543242,0.120115227,0.104772673,-0.144541224,,,,14010963,
1994,C104,717066,,,0.051178923,-0.505382828,0.083864208,,,,0.051178923,,,,,,14010963,
1994,C111,152386,7.0725,2.249073274,0.010876197,0.010204253,0.002748457,2.660575233,0.77433961,0.000592478,0.010876197,0.922596894,0.183376513,0.131815404,-0.063622259,0.131815404,14010963,
1994,C112,436820,11.50536,3.937851876,0.031177015,0.015957827,0.000797659,0.593542404,0.919300452,0.001698359,0.031177015,0.509323106,0.553454445,-0.008339064,0.004800147,-0.008339064,14010963,
1994,C113,1557026,12.71933,8.636488971,0.111129121,0.063632148,-0.017402872,0.726445067,0.338329108,0.006053727,0.111129121,0.380453865,0.053816406,0.40097857,0.004962082,0.40097857,14010963,
