year,group,numberPotentialWorkers,shareMarried,shareChildrenUnder5,WBL,Appliances,jobScarceAgree,jobScarceDisagree,gender,skill,numberPotentialWorkersAddBackAddMIgrants,CtrPSklmGen89,CtrGenRelaSkl89MaleLvlAct
1989,G00,12516408,0.8897139,0.4335808,0.613,0.6303089,0.22,0.72,Female,unskilled,12516408,12516408,12516408
1992,G00,13324301,0.9030589,0.4506163,0.675,0.5908597,0.22,0.72,Female,unskilled,13398115,13577891,13607074
1994,G00,14430167,0.8901486,0.4118166,0.675,0.5976703,0.25,0.05,Female,unskilled,14574826,14841137.26,14823610.22
1996,G00,15470447,0.8806056,0.4042895,0.675,0.655481,0.25,0.05,Female,unskilled,15708476,16141682.01,16105145.5
1998,G00,16040177,0.8692752,0.3874314,0.675,0.6991597,0.25,0.05,Female,unskilled,16388819,16743559.68,16723008.98
2000,G00,17135064,0.8588412,0.3454454,0.675,0.7309458,0.33,0.55,Female,unskilled,17602854,18226922.64,17962397.46
2002,G00,17917711,0.8501692,0.3435476,0.7,0.775,0.33,0.55,Female,unskilled,18646712,19109995.58,18955468.96
2004,G00,18118225,0.8295054,0.3199812,0.7,0.8423783,0.33,0.55,Female,unskilled,19094130,19947769.08,19782678.81
2005,G00,18207313,0.8247227,0.311047,0.7,0.8221154,0.25,0.67,Female,unskilled,19310782,20060318.89,19789724.26
2008,G00,18476117,0.8209564,0.2859879,0.725,0.8599321,0.25,0.67,Female,unskilled,19613218,20721471.24,20427425
2010,G00,19427125,0.8183171,0.2750271,0.725,0.8477707,0.17,0.71,Female,unskilled,20606038,22128400.57,21707087.87
2012,G00,20006379,0.8168648,0.2851892,0.725,0.843504,0.17,0.71,Female,unskilled,21178152,22773362.85,22296486.14
2014,G00,20411993,0.8276235,0.2666864,0.806,0.8884898,0.17,0.71,Female,unskilled,21541553,23802806.43,23224220.27
1989,G01,854207,0.8776824,0.5407726,0.613,0.9558824,0.22,0.72,Female,skilled,854207,854207,854207
1992,G01,1180240,0.8215159,0.4938875,0.675,0.9166667,0.22,0.72,Female,skilled,1163436,926650.0048,897466.9979
