demand_shock_scenario,demand_shock_magnitude,param,param_desc_full,TRUE,esti_mean,esti_sd,esti_median,bias_mean_sd,bias_median_sd,init_mean_perc_in_esti,bias_mean_norm,bias_median_norm,coef_var,sig90,sig95,sig99,esti_count
a,7.50E-04,ar_alpha_A001_i1,"alpha_{3, occ=manual), a_{1,3}, cubic, x 2e4",2.679394148,2.679300961,0.006879916,2.679513318,-0.01354467,0.017321492,0.495,-3.48E-05,4.45E-05,0.002567803,1,1,1,300
a,7.50E-04,ar_alpha_A001_i2,"alpha_{3, occ=manual), a_{1,2}, quadratic, x 1e3",-5.618543579,-5.618679666,0.012780111,-5.618643734,-0.010648309,-0.007836749,0.505,2.42E-05,1.78E-05,-0.002274575,1,1,1,300
a,7.50E-04,ar_alpha_A001_i3,"alpha_{3, occ=manual), a_{1,1}, linear, x 5e1",3.428594238,3.428140911,0.008510434,3.428384843,-0.053267258,-0.024604574,0.515,-1.32E-04,-6.11E-05,0.002482522,1,1,1,300
a,7.50E-04,ar_alpha_A001_i4,"alpha_{3, occ=manual), a_{1,0}, intercept, x 1e0",-1.009677994,-1.010127226,0.002808997,-1.010007953,-0.159926079,-0.117464891,0.545,4.45E-04,3.27E-04,-0.002780835,0,0,0,300
a,7.50E-04,ar_alpha_A002_i1,"alpha_{3, occ=routine), a_{1,3}, cubic, x 2e4",3.434265582,3.433267769,0.010521511,3.433156028,-0.094835549,-0.105455837,0.535,-2.91E-04,-3.23E-04,0.003064576,1,1,1,300
a,7.50E-04,ar_alpha_A002_i2,"alpha_{3, occ=routine), a_{1,2}, quadratic, x 1e3",-7.925275714,-7.926007835,0.018588487,-7.92585334,-0.039385687,-0.031074349,0.515,9.24E-05,7.29E-05,-0.002345252,1,1,1,300
a,7.50E-04,ar_alpha_A002_i3,"alpha_{3, occ=routine), a_{1,1}, linear, x 5e1",5.772149234,5.771651664,0.012589157,5.772550821,-0.039523644,0.031899453,0.495,-8.62E-05,6.96E-05,0.002181205,1,1,1,300
a,7.50E-04,ar_alpha_A002_i4,"alpha_{3, occ=routine), a_{1,0}, intercept, x 1e0",-1.556822829,-1.556905107,0.006210841,-1.557072843,-0.013247392,-0.040254471,0.515,5.28E-05,1.61E-04,-0.003989222,1,1,1,300
a,7.50E-04,ar_alpha_A003_i1,"alpha_{3, occ=analytical), a_{1,3}, cubic, x 2e4",1.387366044,1.387114737,0.004645591,1.387004805,-0.054095789,-0.07775956,0.528333333,-1.81E-04,-2.60E-04,0.003349104,1,1,1,300
a,7.50E-04,ar_alpha_A003_i2,"alpha_{3, occ=analytical), a_{1,2}, quadratic, x 1e3",-3.117626778,-3.117902154,0.007599345,-3.118064751,-0.03623684,-0.057632973,0.528333333,8.83E-05,1.40E-04,-0.002437326,1,1,1,300
a,7.50E-04,ar_alpha_A003_i3,"alpha_{3, occ=analytical), a_{1,1}, linear, x 5e1",2.1504103,2.150595339,0.005815315,2.150715381,0.031819219,0.052461566,0.471666667,8.60E-05,1.42E-04,0.002704049,1,1,1,300
a,7.50E-04,ar_alpha_A003_i4,"alpha_{3, occ=analytical), a_{1,0}, intercept, x 1e0",-0.611077271,-0.611033687,0.002232758,-0.611049864,0.019520099,0.012275202,0.495,-7.13E-05,-4.49E-05,-0.003654067,1,1,1,300
a,7.50E-04,ar_alpha_AA01_i1,"alpha_{2}, a_{1,3}, cubic, x 2e4",0.673415999,0.673450937,0.004141131,0.673140405,0.008436963,-0.066550497,0.521666667,5.19E-05,-4.09E-04,0.006149121,1,1,1,300
a,7.50E-04,ar_alpha_AA01_i2,"alpha_{2}, a_{1,2}, quadratic, x 1e3",-1.977970176,-1.978025871,0.0050834,-1.978003604,-0.010956278,-0.006575927,0.511666667,2.82E-05,1.69E-05,-0.002569936,1,1,1,300
a,7.50E-04,ar_alpha_AA01_i3,"alpha_{2}, a_{1,1}, linear, x 5e1",1.830319748,1.830456025,0.004567851,1.830823641,0.029834007,0.110313016,0.458333333,7.45E-05,2.75E-04,0.002495472,1,1,1,300
a,7.50E-04,ar_alpha_AA01_i4,"alpha_{2}, a_{1,0}, intercept, x 1e0",-0.714123901,-0.714144655,0.001230385,-0.71419868,-0.016868053,-0.06077674,0.528333333,2.91E-05,1.05E-04,-0.001722879,1,1,1,300
a,7.50E-04,ar_alpha_AA02_i1,"alpha_{1}, a_{1,3}, cubic, x 2e4",0.196185275,0.196486876,0.003595174,0.196235161,0.083890392,0.013875787,0.491666667,0.001537325,2.54E-04,0.018297274,1,1,1,300
a,7.50E-04,ar_alpha_AA02_i2,"alpha_{1}, a_{1,2}, quadratic, x 1e3",-0.295119749,-0.29547977,0.004411987,-0.295412085,-0.081600767,-0.066259553,0.538333333,0.001219917,9.91E-04,-0.014931605,1,1,1,300
a,7.50E-04,ar_alpha_AA02_i3,"alpha_{1}, a_{1,1}, linear, x 5e1",0.078634825,0.07870283,0.004816925,0.07884075,0.014117826,0.04275013,0.471666667,8.65E-04,0.00261874,0.061203965,1,1,1,300
a,7.50E-04,ar_alpha_AA02_i4,"alpha_{1}, a_{1,0}, intercept, x 1e0",-0.672994454,-0.672980861,0.00236417,-0.67290719,0.005749556,0.036911048,0.481666667,-2.02E-05,-1.30E-04,-0.003512983,1,1,1,300
a,7.50E-04,ar_alpha_B001_i1,"alpha_{4, skl=unskilled, occ=manual}, a_{1,3}, cubic, x 2e4",1.422657702,1.422826851,0.004143631,1.422919915,0.040821427,0.063280933,0.481666667,1.19E-04,1.84E-04,0.002912252,1,1,1,300
a,7.50E-04,ar_alpha_B001_i2,"alpha_{4, skl=unskilled, occ=manual}, a_{1,2}, quadratic, x 1e3",-3.176825143,-3.176793899,0.007166305,-3.176609269,0.004359855,0.03012356,0.481666667,-9.83E-06,-6.80E-05,-0.002255829,1,1,1,300
a,7.50E-04,ar_alpha_B001_i3,"alpha_{4, skl=unskilled, occ=manual}, a_{1,1}, linear, x 5e1",2.320477716,2.320548776,0.005605031,2.320612687,0.012677872,0.024080271,0.488333333,3.06E-05,5.82E-05,0.00241539,1,1,1,300
a,7.50E-04,ar_alpha_B001_i4,"alpha_{4, skl=unskilled, occ=manual}, a_{1,0}, intercept, x 1e0",-1.333766153,-1.333831478,0.001919299,-1.333750873,-0.034035757,0.007961419,0.495,4.90E-05,-1.15E-05,-0.001438937,1,1,1,300
a,7.50E-04,ar_alpha_B002_i1,"alpha_{4, skl=unskilled, occ=routine}, a_{1,3}, cubic, x 2e4",1.555102477,1.554977505,0.004434658,1.555062706,-0.028180703,-0.008968243,0.501666667,-8.04E-05,-2.56E-05,0.002851912,1,1,1,300
a,7.50E-04,ar_alpha_B002_i2,"alpha_{4, skl=unskilled, occ=routine}, a_{1,2}, quadratic, x 1e3",-3.223372246,-3.223501448,0.00733298,-3.22362463,-0.017619337,-0.034417592,0.521666667,4.01E-05,7.83E-05,-0.002274849,1,1,1,300
a,7.50E-04,ar_alpha_B002_i3,"alpha_{4, skl=unskilled, occ=routine}, a_{1,1}, linear, x 5e1",1.837816147,1.837883992,0.004527784,1.837943244,0.014984157,0.02807042,0.491666667,3.69E-05,6.92E-05,0.002463585,1,1,1,300
a,7.50E-04,ar_alpha_B002_i4,"alpha_{4, skl=unskilled, occ=routine}, a_{1,0}, intercept, x 1e0",-1.136141,-1.135988152,0.001988196,-1.136150147,0.07687758,-0.004600317,0.501666667,-1.35E-04,8.05E-06,-0.001750191,1,1,1,300
a,7.50E-04,ar_alpha_B003_i1,"alpha_{4, skl=unskilled, occ=analytical}, a_{1,3}, cubic, x 2e4",0.860470895,0.860748105,0.002863385,0.86070822,0.096812048,0.082882691,0.455,3.22E-04,2.76E-04,0.003326624,0,1,1,300
a,7.50E-04,ar_alpha_B003_i2,"alpha_{4, skl=unskilled, occ=analytical}, a_{1,2}, quadratic, x 1e3",-1.889335131,-1.889204175,0.00423323,-1.8891237,0.030935114,0.049945521,0.478333333,-6.93E-05,-1.12E-04,-0.002240748,1,1,1,300
a,7.50E-04,ar_alpha_B003_i3,"alpha_{4, skl=unskilled, occ=analytical}, a_{1,1}, linear, x 5e1",1.249721625,1.249757898,0.004098848,1.249611538,0.008849693,-0.026858069,0.511666667,2.90E-05,-8.81E-05,0.003279714,1,1,1,300
a,7.50E-04,ar_alpha_B003_i4,"alpha_{4, skl=unskilled, occ=analytical}, a_{1,0}, intercept, x 1e0",-0.873685531,-0.873546044,5.69E-04,-0.873553875,0.245224022,0.231457246,0.418333333,-1.60E-04,-1.51E-04,-6.51E-04,0,0,0,300
a,7.50E-04,ar_alpha_B101_i1,"alpha_{4, skl=skilled, occ=manual}, a_{1,3}, cubic, x 2e4",-0.35367608,-0.353733646,0.003988979,-0.353767441,-0.014431155,-0.022903361,0.511666667,1.63E-04,2.58E-04,-0.011276786,1,1,1,300
a,7.50E-04,ar_alpha_B101_i2,"alpha_{4, skl=skilled, occ=manual}, a_{1,2}, quadratic, x 1e3",-1.110176409,-1.110207516,0.004598179,-1.110104893,-0.006764922,0.015553216,0.491666667,2.80E-05,-6.44E-05,-0.004141729,1,1,1,300
a,7.50E-04,ar_alpha_B101_i3,"alpha_{4, skl=skilled, occ=manual}, a_{1,1}, linear, x 5e1",5.225877857,5.225894014,0.01331442,5.226680242,0.00121355,0.060264345,0.478333333,3.09E-06,1.54E-04,0.002547778,1,1,1,300
a,7.50E-04,ar_alpha_B101_i4,"alpha_{4, skl=skilled, occ=manual}, a_{1,0}, intercept, x 1e0",-2.852406105,-2.852186132,0.005686319,-2.851950284,0.038684489,0.08016093,0.485,-7.71E-05,-1.60E-04,-0.00199367,1,1,1,300
a,7.50E-04,ar_alpha_B102_i1,"alpha_{4, skl=skilled, occ=routine}, a_{1,3}, cubic, x 2e4",-2.018863293,-2.019129191,0.006121643,-2.01903693,-0.043435854,-0.028364499,0.515,1.32E-04,8.60E-05,-0.003031823,1,1,1,300
a,7.50E-04,ar_alpha_B102_i2,"alpha_{4, skl=skilled, occ=routine}, a_{1,2}, quadratic, x 1e3",4.670945986,4.67086097,0.010956513,4.67126771,-0.007759364,0.029363726,0.495,-1.82E-05,6.89E-05,0.002345716,1,1,1,300
a,7.50E-04,ar_alpha_B102_i3,"alpha_{4, skl=skilled, occ=routine}, a_{1,1}, linear, x 5e1",-1.531716992,-1.53163422,0.005117071,-1.531475996,0.016175792,0.047096625,0.485,-5.40E-05,-1.57E-04,-0.003340922,1,1,1,300
a,7.50E-04,ar_alpha_B102_i4,"alpha_{4, skl=skilled, occ=routine}, a_{1,0}, intercept, x 1e0",-1.338602268,-1.338146817,0.002372385,-1.338205237,0.191979985,0.167355084,0.428333333,-3.40E-04,-2.97E-04,-0.001772889,0,0,0,300
a,7.50E-04,ar_alpha_B103_i1,"alpha_{4, skl=skilled, occ=analytical}, a_{1,3}, cubic, x 2e4",-1.507044766,-1.50733696,0.003570154,-1.507182885,-0.0818435,-0.038687012,0.515,1.94E-04,9.16E-05,-0.002368517,1,1,1,300
a,7.50E-04,ar_alpha_B103_i2,"alpha_{4, skl=skilled, occ=analytical}, a_{1,2}, quadratic, x 1e3",2.345943132,2.345913553,0.005483218,2.346051456,-0.005394427,0.019755584,0.491666667,-1.26E-05,4.62E-05,0.002337349,1,1,1,300
a,7.50E-04,ar_alpha_B103_i3,"alpha_{4, skl=skilled, occ=analytical}, a_{1,1}, linear, x 5e1",-0.077461202,-0.077365129,0.002568304,-0.077234259,0.037406784,0.088362775,0.448333333,-0.00124026,-0.002929757,-0.033197183,1,1,1,300
a,7.50E-04,ar_alpha_B103_i4,"alpha_{4, skl=skilled, occ=analytical}, a_{1,0}, intercept, x 1e0",-1.146562743,-1.146375443,0.001084416,-1.146331398,0.172719766,0.213336255,0.415,-1.63E-04,-2.02E-04,-9.46E-04,0,0,0,300
a,7.50E-04,arpie_f_s_i3,"pie_{2, gen=female, skl=skilled}",2.735780077,2.735006935,0.007812085,2.735123527,-0.098967414,-0.084042909,0.538333333,-2.83E-04,-2.40E-04,0.002856331,0,1,1,300
a,7.50E-04,arpie_f_s_i4,"pie_{3, gen=female, skl=skilled}",0.267472862,0.266060579,0.010829333,0.265976559,-0.130412722,-0.138171313,0.585,-0.005280098,-0.005594224,0.040702509,0,0,1,300
a,7.50E-04,arpie_f_s_i5,"pie_{4, gen=female, skl=skilled}",-8.346601484,-8.348186434,0.018436519,-8.348715599,-0.08596797,-0.114669964,0.545,1.90E-04,2.53E-04,-0.002208446,1,1,1,300
a,7.50E-04,arpie_f_s_i6,"pie_{5, gen=female, skl=skilled}",-1.150453134,-1.151595793,0.010185052,-1.152404071,-0.112189893,-0.191549091,0.565,9.93E-04,0.001695799,-0.008844294,0,1,1,300
a,7.50E-04,arpie_f_u_i1,"pie_{1, gen=female}",11.14864017,11.14611465,0.019292778,11.14571714,-0.130905038,-0.151509255,0.555,-2.27E-04,-2.62E-04,0.001730897,0,0,1,300
a,7.50E-04,arpie_f_u_i3,"pie_{2, gen=female, skl=unskilled}",-0.256626255,-0.256871552,0.006337247,-0.256808753,-0.038707099,-0.028797663,0.511666667,9.56E-04,7.11E-04,-0.024670879,1,1,1,300
a,7.50E-04,arpie_f_u_i4,"pie_{3, gen=female, skl=unskilled}",-0.265065472,-0.265516811,0.010021631,-0.265639637,-0.045036452,-0.057292586,0.521666667,0.001702744,0.002166126,-0.037743865,1,1,1,300
a,7.50E-04,arpie_f_u_i5,"pie_{4, gen=female, skl=unskilled}",-2.07434134,-2.074939709,0.005040933,-2.074808579,-0.118702065,-0.092689009,0.548333333,2.88E-04,2.25E-04,-0.002429436,0,0,1,300
a,7.50E-04,arpie_f_u_i6,"pie_{5, gen=female, skl=unskilled}",-0.51367892,-0.513928717,0.004947662,-0.513935624,-0.050488057,-0.051884001,0.515,4.86E-04,5.00E-04,-0.009627136,1,1,1,300
a,7.50E-04,arpie_k_s_i3,"pie_{2, gen=male, skl=skilled}",-0.043897209,-0.043878609,0.001536745,-0.043881682,0.01210387,0.010104303,0.498333333,-4.24E-04,-3.54E-04,-0.035022655,1,1,1,300
a,7.50E-04,arpie_k_s_i4,"pie_{3, gen=male, skl=skilled}",0.915581206,0.915630859,0.004147469,0.915674558,0.011972028,0.022508116,0.498333333,5.42E-05,1.02E-04,0.004529631,1,1,1,300
a,7.50E-04,arpie_k_s_i5,"pie_{4, gen=male, skl=skilled}",-3.030644866,-3.030592865,0.007294703,-3.030348952,0.007128577,0.040565555,0.481666667,-1.72E-05,-9.76E-05,-0.002407022,1,1,1,300
a,7.50E-04,arpie_k_s_i6,"pie_{5, gen=male, skl=skilled}",1.102477478,1.10251602,0.004048131,1.10257927,0.009521019,0.02514534,0.495,3.50E-05,9.23E-05,0.003671721,1,1,1,300
a,7.50E-04,arpie_k_u_i1,"pie_{1, gen=male}",2.445618775,2.445412249,0.005999871,2.445593789,-0.034421756,-0.004164432,0.505,-8.44E-05,-1.02E-05,0.002453521,1,1,1,300
a,7.50E-04,arpie_k_u_i3,"pie_{2, gen=male, skl=unskilled}",-2.280379071,-2.28057147,0.007074718,-2.28027332,-0.027195228,0.014947751,0.495,8.44E-05,-4.64E-05,-0.003102169,1,1,1,300
a,7.50E-04,arpie_k_u_i4,"pie_{3, gen=male, skl=unskilled}",3.017425831,3.017177117,0.008190776,3.017487162,-0.030365111,0.007487717,0.498333333,-8.24E-05,2.03E-05,0.002714715,1,1,1,300
a,7.50E-04,arpie_k_u_i5,"pie_{4, gen=male, skl=unskilled}",0.844966684,0.844911004,0.003995527,0.844486726,-0.013935368,-0.120123737,0.531666667,-6.59E-05,-5.68E-04,0.004728932,1,1,1,300
a,7.50E-04,arpie_k_u_i6,"pie_{5, gen=male, skl=unskilled}",0.711896149,0.711755484,0.004021682,0.711364402,-0.034976545,-0.132219989,0.531666667,-1.98E-04,-7.47E-04,0.00565037,1,1,1,300
a,7.50E-04,arpsi0_f_s_i2,"psi_{gen=female, skl=skilled, occ=routine}",1.159025258,1.159066553,0.001555764,1.159249572,0.026543078,0.14418252,0.435,3.56E-05,1.94E-04,0.001342256,1,1,1,300
a,7.50E-04,arpsi0_f_s_i3,"psi_{gen=female, skl=skilled, occ=analytical}",2.193653215,2.193379775,0.001711579,2.193582928,-0.159759469,-0.041065583,0.528333333,-1.25E-04,-3.20E-05,7.80E-04,0,0,0,300
a,7.50E-04,arpsi0_f_u_i1,"psi_{gen=female, skl=unskilled, occ=manual}",7.371468182,7.370420322,0.011764165,7.37013295,-0.089072214,-0.113499962,0.568333333,-1.42E-04,-1.81E-04,0.001596132,1,1,1,300
a,7.50E-04,arpsi0_f_u_i2,"psi_{gen=female, skl=unskilled, occ=routine}",6.541860619,6.54280486,0.011756066,6.542569368,0.080319477,0.060287962,0.478333333,1.44E-04,1.08E-04,0.001796793,1,1,1,300
a,7.50E-04,arpsi0_f_u_i3,"psi_{gen=female, skl=unskilled, occ=analytical}",6.308123091,6.308705065,0.011763796,6.308507121,0.049471594,0.032645054,0.485,9.23E-05,6.09E-05,0.001864693,1,1,1,300
a,7.50E-04,arpsi0_k_s_i2,"psi_{gen=male, skl=skilled, occ=routine}",0.429599619,0.429478581,6.81E-04,0.429537681,-0.177741673,-0.090954774,0.551666667,-2.82E-04,-1.44E-04,0.001585588,0,0,0,300
a,7.50E-04,arpsi0_k_s_i3,"psi_{gen=male, skl=skilled, occ=analytical}",1.349371273,1.34926623,0.001036252,1.349365167,-0.10136731,-0.005891934,0.505,-7.78E-05,-4.52E-06,7.68E-04,0,1,1,300
a,7.50E-04,arpsi0_k_u_i1,"psi_{gen=male, skl=unskilled, occ=manual}",6.692593744,6.693221155,0.009996704,6.692861855,0.062761822,0.026819906,0.485,9.37E-05,4.01E-05,0.001493556,1,1,1,300
a,7.50E-04,arpsi0_k_u_i2,"psi_{gen=male, skl=unskilled, occ=routine}",6.242917024,6.244018679,0.010002661,6.243603477,0.110136185,0.068627038,0.461666667,1.76E-04,1.10E-04,0.001601959,0,1,1,300
a,7.50E-04,arpsi0_k_u_i3,"psi_{gen=male, skl=unskilled, occ=analytical}",5.066103107,5.064571582,0.010039017,5.064303051,-0.152557293,-0.179305995,0.568333333,-3.02E-04,-3.55E-04,0.001982205,0,0,0,300
a,7.50E-04,fl_yzagg_y1989,Y_{1989}/Z_{1989},1.490444056,1.490494562,8.71E-04,1.490494143,0.057963758,0.057482346,0.475,3.39E-05,3.36E-05,5.85E-04,1,1,1,300
