demand_shock_scenario,demand_shock_magnitude,rho_param_values_true,rho_param_names,esti.param.set.name,mean,median,sd,IQR,mad,1%,5%,10%,25%,50%,75%,90%,95%,99%,min,max,first,last,n.distinct,SD Ratio,Bias,Bias Ratio,SD gap,
a,7.50E-04,0.659790692,Analytical Gender Elasticity,equilibrium_estimator,0.65982872,0.659782505,0.001618522,0.002140217,0.001517867,0.656446872,0.657108425,0.657651072,0.658810334,0.659782505,0.66095055,0.661958604,0.66248092,0.663449356,0.654606494,0.664563775,0.654606494,0.664563775,300,,3.80279E-05,,0.023495463,
a,7.50E-04,0.659790692,Analytical Gender Elasticity,IV,0.662744131,0.662881135,0.007195548,0.009227917,0.006840131,0.644786982,0.650404316,0.653894188,0.658376993,0.662881135,0.66760491,0.671483515,0.674429025,0.678990126,0.64224076,0.6848439,0.64224076,0.6848439,300,4.445751333,0.002953439,77.66498749,0.410453644,17.46948528
a,7.50E-04,0.659790692,Analytical Gender Elasticity,OLS,0.663400889,0.66342291,0.004833316,0.00634217,0.004719746,0.650794306,0.655369285,0.657180814,0.660271422,0.66342291,0.666613593,0.670077642,0.671507677,0.674051523,0.64816201,0.67502743,0.64816201,0.67502743,300,2.986252225,0.003610197,94.935401,0.746939987,1.819791338
a,7.50E-04,0.083519175,Manual Gender Elasticity,equilibrium_estimator,0.083381822,0.083468231,0.003072564,0.003995782,0.002994688,0.077010621,0.078441341,0.079423487,0.08135325,0.083468231,0.085349032,0.087105491,0.08859451,0.090565437,0.073423475,0.092301798,0.073423475,0.092301798,300,,-0.000137353,,-0.044702918,
a,7.50E-04,0.083519175,Manual Gender Elasticity,IV,0.084731907,0.084597048,0.007774765,0.010045692,0.007398617,0.065454597,0.071425898,0.075105339,0.079958432,0.084597048,0.090004124,0.09409398,0.09738951,0.102135119,0.062949941,0.10814933,0.062949941,0.10814933,300,2.530383881,0.001212732,8.829340539,0.155983164,-3.48932848
a,7.50E-04,0.083519175,Manual Gender Elasticity,OLS,0.085350032,0.085227624,0.005286219,0.006946321,0.005273885,0.071568909,0.076715694,0.078725539,0.081913019,0.085227624,0.08885934,0.092602078,0.094018279,0.096829865,0.068767145,0.097984187,0.068767145,0.097984187,300,1.720458773,0.001830857,13.32962037,0.346345366,2.220402233
a,7.50E-04,0.21768748,Routine Gender Elasticity,equilibrium_estimator,0.217671321,0.217707703,0.003163948,0.00443348,0.003244749,0.210909593,0.212798513,0.213615661,0.2153789,0.217707703,0.21981238,0.221771994,0.222762281,0.224120862,0.2077634,0.225829205,0.2077634,0.225829205,300,,-1.61592E-05,,-0.005107303,
a,7.50E-04,0.21768748,Routine Gender Elasticity,IV,0.218361283,0.21839558,0.008444582,0.01077608,0.00804865,0.196854157,0.204218139,0.207857528,0.213174605,0.21839558,0.223950685,0.228400694,0.232115077,0.237459114,0.19402112,0.24458368,0.19402112,0.24458368,300,2.669001372,0.000673803,41.69767644,0.079791147,-15.62295054
a,7.50E-04,0.21768748,Routine Gender Elasticity,OLS,0.219334095,0.21928419,0.005655849,0.00757068,0.005613813,0.204351672,0.210403337,0.212209309,0.215507148,0.21928419,0.223077828,0.227136299,0.2288105,0.231334198,0.20099524,0.2333193,0.20099524,0.2333193,300,1.787591999,0.001646615,101.8992453,0.291134864,3.648711348
b,0.0187,0.659790692,Analytical Gender Elasticity,equilibrium_estimator,0.661271985,0.662830605,0.055867733,0.074451109,0.055213997,0.53983091,0.568786022,0.587189908,0.625601417,0.662830605,0.700052525,0.727795499,0.753495063,0.786785702,0.47791852,0.804839208,0.47791852,0.804839208,300,,0.001481293,,0.02651428,
