param,param_desc_part_1,param_desc_part_2,param_desc_part_3,param_desc_full
ar_alpha_A001_i1,"alpha_{3, occ=manual)","a_{1,3}, cubic",x 2e4,"alpha_{3, occ=manual), a_{1,3}, cubic, x 2e4"
ar_alpha_A001_i2,"alpha_{3, occ=manual)","a_{1,2}, quadratic",x 1e3,"alpha_{3, occ=manual), a_{1,2}, quadratic, x 1e3"
ar_alpha_A001_i3,"alpha_{3, occ=manual)","a_{1,1}, linear",x 5e1,"alpha_{3, occ=manual), a_{1,1}, linear, x 5e1"
ar_alpha_A001_i4,"alpha_{3, occ=manual)","a_{1,0}, intercept",x 1e0,"alpha_{3, occ=manual), a_{1,0}, intercept, x 1e0"
ar_alpha_A002_i1,"alpha_{3, occ=routine)","a_{1,3}, cubic",x 2e4,"alpha_{3, occ=routine), a_{1,3}, cubic, x 2e4"
ar_alpha_A002_i2,"alpha_{3, occ=routine)","a_{1,2}, quadratic",x 1e3,"alpha_{3, occ=routine), a_{1,2}, quadratic, x 1e3"
ar_alpha_A002_i3,"alpha_{3, occ=routine)","a_{1,1}, linear",x 5e1,"alpha_{3, occ=routine), a_{1,1}, linear, x 5e1"
ar_alpha_A002_i4,"alpha_{3, occ=routine)","a_{1,0}, intercept",x 1e0,"alpha_{3, occ=routine), a_{1,0}, intercept, x 1e0"
ar_alpha_A003_i1,"alpha_{3, occ=analytical)","a_{1,3}, cubic",x 2e4,"alpha_{3, occ=analytical), a_{1,3}, cubic, x 2e4"
ar_alpha_A003_i2,"alpha_{3, occ=analytical)","a_{1,2}, quadratic",x 1e3,"alpha_{3, occ=analytical), a_{1,2}, quadratic, x 1e3"
ar_alpha_A003_i3,"alpha_{3, occ=analytical)","a_{1,1}, linear",x 5e1,"alpha_{3, occ=analytical), a_{1,1}, linear, x 5e1"
ar_alpha_A003_i4,"alpha_{3, occ=analytical)","a_{1,0}, intercept",x 1e0,"alpha_{3, occ=analytical), a_{1,0}, intercept, x 1e0"
ar_alpha_AA01_i1,alpha_{2},"a_{1,3}, cubic",x 2e4,"alpha_{2}, a_{1,3}, cubic, x 2e4"
ar_alpha_AA01_i2,alpha_{2},"a_{1,2}, quadratic",x 1e3,"alpha_{2}, a_{1,2}, quadratic, x 1e3"
ar_alpha_AA01_i3,alpha_{2},"a_{1,1}, linear",x 5e1,"alpha_{2}, a_{1,1}, linear, x 5e1"
ar_alpha_AA01_i4,alpha_{2},"a_{1,0}, intercept",x 1e0,"alpha_{2}, a_{1,0}, intercept, x 1e0"
ar_alpha_AA02_i1,alpha_{1},"a_{1,3}, cubic",x 2e4,"alpha_{1}, a_{1,3}, cubic, x 2e4"
ar_alpha_AA02_i2,alpha_{1},"a_{1,2}, quadratic",x 1e3,"alpha_{1}, a_{1,2}, quadratic, x 1e3"
ar_alpha_AA02_i3,alpha_{1},"a_{1,1}, linear",x 5e1,"alpha_{1}, a_{1,1}, linear, x 5e1"
ar_alpha_AA02_i4,alpha_{1},"a_{1,0}, intercept",x 1e0,"alpha_{1}, a_{1,0}, intercept, x 1e0"
ar_alpha_B001_i1,"alpha_{4, skl=unskilled, occ=manual}","a_{1,3}, cubic",x 2e4,"alpha_{4, skl=unskilled, occ=manual}, a_{1,3}, cubic, x 2e4"
ar_alpha_B001_i2,"alpha_{4, skl=unskilled, occ=manual}","a_{1,2}, quadratic",x 1e3,"alpha_{4, skl=unskilled, occ=manual}, a_{1,2}, quadratic, x 1e3"
ar_alpha_B001_i3,"alpha_{4, skl=unskilled, occ=manual}","a_{1,1}, linear",x 5e1,"alpha_{4, skl=unskilled, occ=manual}, a_{1,1}, linear, x 5e1"
ar_alpha_B001_i4,"alpha_{4, skl=unskilled, occ=manual}","a_{1,0}, intercept",x 1e0,"alpha_{4, skl=unskilled, occ=manual}, a_{1,0}, intercept, x 1e0"
ar_alpha_B002_i1,"alpha_{4, skl=unskilled, occ=routine}","a_{1,3}, cubic",x 2e4,"alpha_{4, skl=unskilled, occ=routine}, a_{1,3}, cubic, x 2e4"
ar_alpha_B002_i2,"alpha_{4, skl=unskilled, occ=routine}","a_{1,2}, quadratic",x 1e3,"alpha_{4, skl=unskilled, occ=routine}, a_{1,2}, quadratic, x 1e3"
ar_alpha_B002_i3,"alpha_{4, skl=unskilled, occ=routine}","a_{1,1}, linear",x 5e1,"alpha_{4, skl=unskilled, occ=routine}, a_{1,1}, linear, x 5e1"
ar_alpha_B002_i4,"alpha_{4, skl=unskilled, occ=routine}","a_{1,0}, intercept",x 1e0,"alpha_{4, skl=unskilled, occ=routine}, a_{1,0}, intercept, x 1e0"
ar_alpha_B003_i1,"alpha_{4, skl=unskilled, occ=analytical}","a_{1,3}, cubic",x 2e4,"alpha_{4, skl=unskilled, occ=analytical}, a_{1,3}, cubic, x 2e4"
ar_alpha_B003_i2,"alpha_{4, skl=unskilled, occ=analytical}","a_{1,2}, quadratic",x 1e3,"alpha_{4, skl=unskilled, occ=analytical}, a_{1,2}, quadratic, x 1e3"
ar_alpha_B003_i3,"alpha_{4, skl=unskilled, occ=analytical}","a_{1,1}, linear",x 5e1,"alpha_{4, skl=unskilled, occ=analytical}, a_{1,1}, linear, x 5e1"
ar_alpha_B003_i4,"alpha_{4, skl=unskilled, occ=analytical}","a_{1,0}, intercept",x 1e0,"alpha_{4, skl=unskilled, occ=analytical}, a_{1,0}, intercept, x 1e0"
ar_alpha_B101_i1,"alpha_{4, skl=skilled, occ=manual}","a_{1,3}, cubic",x 2e4,"alpha_{4, skl=skilled, occ=manual}, a_{1,3}, cubic, x 2e4"
ar_alpha_B101_i2,"alpha_{4, skl=skilled, occ=manual}","a_{1,2}, quadratic",x 1e3,"alpha_{4, skl=skilled, occ=manual}, a_{1,2}, quadratic, x 1e3"
ar_alpha_B101_i3,"alpha_{4, skl=skilled, occ=manual}","a_{1,1}, linear",x 5e1,"alpha_{4, skl=skilled, occ=manual}, a_{1,1}, linear, x 5e1"
ar_alpha_B101_i4,"alpha_{4, skl=skilled, occ=manual}","a_{1,0}, intercept",x 1e0,"alpha_{4, skl=skilled, occ=manual}, a_{1,0}, intercept, x 1e0"
ar_alpha_B102_i1,"alpha_{4, skl=skilled, occ=routine}","a_{1,3}, cubic",x 2e4,"alpha_{4, skl=skilled, occ=routine}, a_{1,3}, cubic, x 2e4"
ar_alpha_B102_i2,"alpha_{4, skl=skilled, occ=routine}","a_{1,2}, quadratic",x 1e3,"alpha_{4, skl=skilled, occ=routine}, a_{1,2}, quadratic, x 1e3"
ar_alpha_B102_i3,"alpha_{4, skl=skilled, occ=routine}","a_{1,1}, linear",x 5e1,"alpha_{4, skl=skilled, occ=routine}, a_{1,1}, linear, x 5e1"
ar_alpha_B102_i4,"alpha_{4, skl=skilled, occ=routine}","a_{1,0}, intercept",x 1e0,"alpha_{4, skl=skilled, occ=routine}, a_{1,0}, intercept, x 1e0"
ar_alpha_B103_i1,"alpha_{4, skl=skilled, occ=analytical}","a_{1,3}, cubic",x 2e4,"alpha_{4, skl=skilled, occ=analytical}, a_{1,3}, cubic, x 2e4"
ar_alpha_B103_i2,"alpha_{4, skl=skilled, occ=analytical}","a_{1,2}, quadratic",x 1e3,"alpha_{4, skl=skilled, occ=analytical}, a_{1,2}, quadratic, x 1e3"
